😛	smileys	face with tongue awesome cool nice party stuck out sweet facetongue
😜	smileys	winking face with tongue crazy epic eye funny joke loopy nutty party stuck out wacky weirdo wink yolo winkingfacetongue winkingface
🤪	smileys	zany face crazy eye eyes goofy large small zanyface
😝	smileys	squinting face with tongue closed eye eyes gross horrible omg stuck out taste whatever yolo squintingfacetongue squintingface
🤑	smileys	money mouth face paid moneymouthface moneymouth mouthface
🤗	smileys	smiling face with open hands hug hugging smilingfaceopenhands smilingface openhands
🤭	smileys	face with hand over mouth giggle giggling oops realization secret shock sudden surprise whoops facehandovermouth handover overmouth
🫢	smileys	face with open eyes and hand over mouth amazement awe disbelief embarrass gasp omg quiet scared shock surprise openeyes handover overmouth
🫣	smileys	face with peeking eye captivated embarrass hide hiding peek peep scared shy stare facepeekingeye peekingeye
🤫	smileys	shushing face quiet shh shush shushingface
🤔	smileys	thinking face chin consider hmm ponder pondering wondering thinkingface
🫡	smileys	saluting face good luck ma am ok respect salute sir troops yes salutingface
🤐	smileys	zipper mouth face keep quiet secret shut zip zippermouthface zippermouth mouthface
🤨	smileys	face with raised eyebrow disapproval disbelief distrust emoji hmm mild skeptic skeptical skepticism surprise what faceraisedeyebrow raisedeyebrow
😐	smileys	neutral face awkward blank deadpan expressionless fine jealous meh oh shade straight unamused unhappy unimpressed whatever neutralface
😑	smileys	expressionless face awkward dead fine inexpressive jealous meh not oh omg straight uh unhappy unimpressed whatever expressionlessface
😶	smileys	face without mouth awkward blank expressionless mouthless mute quiet secret silence silent speechless facewithoutmouth facewithout withoutmouth
🫥	smileys	dotted line face depressed disappear hidden hide introvert invisible meh whatever wtv dottedlineface dottedline lineface
😶‍🌫️	smileys	face in clouds absentminded fog head faceclouds
😏	smileys	smirking face boss dapper flirt homie kidding leer shade slick sly smirk smug snicker suave suspicious swag smirkingface
😒	smileys	unamused face bored fine jealous jel jelly pissed smh ugh uhh unhappy weird whatever unamusedface
🙄	smileys	face with rolling eyes eyeroll shade ugh whatever facerollingeyes rollingeyes
😬	smileys	grimacing face awk awkward dentist grimace grinning smile smiling grimacingface
😮‍💨	smileys	face exhaling blow blowing exhale exhausted gasp groan relief sigh smiley smoke whisper whistle faceexhaling
🤥	smileys	lying face liar lie pinocchio lyingface
🫨	smileys	shaking face crazy daze earthquake omg panic shock surprise vibrate whoa wow shakingface
🙂‍↔️	smileys	head shaking horizontally no shake headshakinghorizontally headshaking shakinghorizontally
🙂‍↕️	smileys	head shaking vertically nod yes headshakingvertically headshaking shakingvertically
😌	smileys	relieved face calm peace relief zen relievedface
😔	smileys	pensive face awful bored dejected died disappointed losing lost sad sucks pensiveface
😪	smileys	sleepy face crying good night sad sleep sleeping tired sleepyface
🤤	smileys	drooling face droolingface
😴	smileys	sleeping face bed bedtime good goodnight nap night sleep tired whatever yawn zzz sleepingface
🫩	smileys	face with bags under eyes bored exhausted fatigued late sleepy tired weary facebagsundereyes bagsunder undereyes
😷	smileys	face with medical mask cold dentist dermatologist doctor dr germs medicine sick facemedicalmask medicalmask
🤒	smileys	face with thermometer ill sick facethermometer
🤕	smileys	face with head bandage hurt injury ouch faceheadbandage headbandage
🤢	smileys	nauseated face gross nasty sick vomit nauseatedface
🤮	smileys	face vomiting barf ew gross puke sick spew throw up vomit facevomiting
🤧	smileys	sneezing face fever flu gesundheit sick sneeze sneezingface
🥵	smileys	hot face dying feverish heat panting red faced stroke sweating tongue hotface
🥶	smileys	cold face blue faced freezing frostbite icicles subzero teeth coldface
🥴	smileys	woozy face dizzy drunk eyes intoxicated mouth tipsy uneven wavy woozyface
😵	smileys	face with crossed out eyes dead dizzy feels knocked sick tired facecrossedouteyes crossedout outeyes
😵‍💫	smileys	face with spiral eyes confused dizzy hypnotized omg smiley trouble whoa woah woozy facespiraleyes spiraleyes
🤯	smileys	exploding head blown explode mind mindblown no shocked way explodinghead
🤠	smileys	cowboy hat face cowgirl cowboyhatface cowboyhat hatface
🥳	smileys	partying face bday birthday celebrate celebration excited happy hat hooray horn party partyingface
🥸	smileys	disguised face disguise eyebrow glasses incognito moustache mustache nose person spy tache tash disguisedface
😎	smileys	smiling face with sunglasses awesome beach bright bro chilling cool rad relaxed shades slay smile style swag win smilingfacesunglasses smilingface
🤓	smileys	nerd face brainy clever expert geek gifted glasses intelligent smart nerdface
🧐	smileys	face with monocle classy fancy rich stuffy wealthy facemonocle
😕	smileys	confused face befuddled confusing dunno frown hm meh not sad sorry sure confusedface
🫤	smileys	face with diagonal mouth confused confusion disappointed doubt doubtful frustrated frustration meh skeptical unsure whatever wtv facediagonalmouth diagonalmouth
😟	smileys	worried face anxious butterflies nerves nervous sad stress stressed surprised worry worriedface
🙁	smileys	slightly frowning face frown sad slightlyfrowningface slightlyfrowning frowningface
☹️	smileys	frowning face frown sad frowningface
😮	smileys	face with open mouth believe forgot omg shocked surprised sympathy unbelievable unreal whoa wow you faceopenmouth openmouth
😯	smileys	hushed face epic omg stunned surprised whoa woah hushedface
😲	smileys	astonished face cost no omg shocked totally way astonishedface
😳	smileys	flushed face amazed awkward crazy dazed dead disbelief embarrassed geez heat hot impressed jeez what wow flushedface
🥺	smileys	pleading face begging big eyes mercy not please pretty puppy sad why pleadingface
🥹	smileys	face holding back tears admiration aww cry embarrassed feelings grateful gratitude joy please proud resist sad faceholdingbacktears faceholding holdingback backtears
😦	smileys	frowning face with open mouth caught frown guard scared scary surprise what wow frowningfaceopenmouth frowningface openmouth
😧	smileys	anguished face forgot scared scary stressed surprise unhappy what wow anguishedface
😨	smileys	fearful face afraid anxious blame fear scared worried fearfulface
😰	smileys	anxious face with sweat blue cold eek mouth nervous open rushed scared yikes anxiousfacesweat anxiousface
😥	smileys	sad but relieved face anxious call close complicated disappointed not sweat time whew sadbutrelievedface sadbut butrelieved relievedface
😢	smileys	crying face awful cry feels miss sad tear triste unhappy cryingface
😭	smileys	loudly crying face bawling cry sad sob tear tears unhappy loudlycryingface loudlycrying cryingface
😱	smileys	face screaming in fear epic fearful munch scared scream screamer shocked surprised woah facescreamingfear facescreaming
😖	smileys	confounded face annoyed confused cringe distraught feels frustrated mad sad confoundedface
😣	smileys	persevering face concentrate concentration focus headache persevere perseveringface
😞	smileys	disappointed face awful blame dejected fail losing sad unhappy disappointedface
😓	smileys	downcast face with sweat close cold feels headache nervous sad scared yikes downcastfacesweat downcastface
😩	smileys	weary face crying fail feels hungry mad nooo sad sleepy tired unhappy wearyface
😫	smileys	tired face cost feels nap sad sneeze tiredface
🥱	smileys	yawning face bedtime bored goodnight nap night sleep sleepy tired whatever yawn zzz yawningface
😤	smileys	face with steam from nose anger angry feels fume fuming furious fury mad triumph unhappy won facesteamfromnose steamfrom fromnose
😡	smileys	enraged face anger angry feels mad maddening pouting rage red shade unhappy upset enragedface
😠	smileys	angry face anger blame feels frustrated mad maddening rage shade unhappy upset angryface
🤬	smileys	face with symbols on mouth censor cursing cussing mad pissed swearing facesymbolsmouth
😈	smileys	smiling face with horns demon devil evil fairy fairytale fantasy purple shade smile tale smilingfacehorns smilingface
👿	smileys	angry face with horns demon devil evil fairy fairytale fantasy imp mischievous purple shade tale angryfacehorns angryface
💀	smileys	skull body dead death face fairy fairytale i m lmao monster tale yolo
☠️	smileys	skull and crossbones bone dead death face monster skullcrossbones
💩	smileys	pile of poo bs comic doo dung face fml monster poop smelly smh stink stinks stinky turd pilepoo
🤡	smileys	clown face clownface
👹	smileys	ogre creature devil face fairy fairytale fantasy mask monster scary tale
👺	smileys	goblin angry creature face fairy fairytale fantasy mask mean monster tale
👻	smileys	ghost boo creature excited face fairy fairytale fantasy halloween haunting monster scary silly tale
👽	smileys	alien creature extraterrestrial face fairy fairytale fantasy monster space tale ufo
👾	smileys	alien monster creature extraterrestrial face fairy fairytale fantasy game gamer games pixelated space tale ufo alienmonster
🤖	smileys	robot face monster
😺	smileys	grinning cat animal face mouth open smile smiling grinningcat
😸	smileys	grinning cat with smiling eyes animal eye face grin smile grinningcatsmilingeyes grinningcat smilingeyes
😹	smileys	cat with tears of joy animal face laugh laughing lol tear cattearsjoy
😻	smileys	smiling cat with heart eyes animal eye face love smile smilingcathearteyes smilingcat hearteyes
😼	smileys	cat with wry smile animal face ironic catwrysmile wrysmile
😽	smileys	kissing cat animal closed eye eyes face kiss kissingcat
🙀	smileys	weary cat animal face oh surprised wearycat
😿	smileys	crying cat animal cry face sad tear cryingcat
😾	smileys	pouting cat animal face poutingcat
🙈	smileys	see no evil monkey embarrassed face forbidden forgot gesture hide omg prohibited scared secret smh watch seenoevilmonkey seeno noevil evilmonkey
🙉	smileys	hear no evil monkey animal ears face forbidden gesture listen not prohibited secret shh tmi hearnoevilmonkey hearno noevil evilmonkey
🙊	smileys	speak no evil monkey animal face forbidden gesture not oops prohibited quiet secret stealth speaknoevilmonkey speakno noevil evilmonkey
💌	smileys	love letter heart mail romance valentine loveletter
💘	smileys	heart with arrow 143 adorbs cupid date emotion ily love romance valentine heartarrow
💝	smileys	heart with ribbon 143 anniversary emotion ily kisses valentine xoxo heartribbon
💖	smileys	sparkling heart 143 emotion excited good ily kisses morning night sparkle xoxo sparklingheart
💗	smileys	growing heart 143 emotion excited heartpulse ily kisses muah nervous pulse xoxo growingheart
💓	smileys	beating heart 143 cardio emotion heartbeat ily love pulsating pulse beatingheart
💞	smileys	revolving hearts 143 adorbs anniversary emotion heart revolvinghearts
💕	smileys	two hearts 143 anniversary date dating emotion heart ily kisses love loving xoxo twohearts
💟	smileys	heart decoration 143 emotion hearth purple white heartdecoration
❣️	smileys	heart exclamation heavy mark punctuation heartexclamation
💔	smileys	broken heart break crushed emotion heartbroken lonely sad brokenheart
❤️‍🔥	smileys	heart on fire burn love lust sacred heartfire
❤️‍🩹	smileys	mending heart healthier improving recovering recuperating well mendingheart
❤️	smileys	red heart emotion love redheart
🩷	smileys	pink heart 143 adorable cute emotion ily like love special sweet pinkheart
🧡	smileys	orange heart 143 orangeheart
💛	smileys	yellow heart 143 cardiac emotion ily love yellowheart
💚	smileys	green heart 143 emotion ily love romantic greenheart
💙	smileys	blue heart 143 emotion ily love romance blueheart
🩵	smileys	light blue heart 143 cute cyan emotion ily like love sky special teal lightblueheart lightblue blueheart
💜	smileys	purple heart 143 bestest emotion ily love purpleheart
🤎	smileys	brown heart 143 brownheart
🖤	smileys	black heart evil wicked blackheart
🩶	smileys	grey heart 143 emotion gray ily love silver slate special greyheart
🤍	smileys	white heart 143 whiteheart
💋	smileys	kiss mark dating emotion heart kissing lips romance sexy kissmark
💯	smileys	hundred points 100 a agree clearly definitely faithful fleek full keep perfect point score true truth yup hundredpoints
💢	smileys	anger symbol angry comic mad upset angersymbol
💥	smileys	collision bomb boom collide comic explode
💫	smileys	dizzy comic shining shooting star stars
💦	smileys	sweat droplets comic drip droplet drops splashing squirt water wet work workout sweatdroplets
💨	smileys	dashing away cloud comic dash fart fast go gone gotta running smoke dashingaway
🕳️	smileys	hole
💬	smileys	speech balloon bubble comic dialog message sms talk text typing speechballoon
👁️‍🗨️	smileys	eye in speech bubble balloon witness eyespeechbubble speechbubble
🗨️	smileys	left speech bubble balloon dialog leftspeechbubble leftspeech speechbubble
🗯️	smileys	right anger bubble angry balloon mad rightangerbubble rightanger angerbubble
💭	smileys	thought balloon bubble cartoon cloud comic daydream decisions dream idea invent invention realize think thoughts wonder thoughtballoon
💤	smileys	zzz comic good goodnight night sleep sleeping sleepy tired
👋	people	waving hand bye cya g2g greetings gtg hello hey hi later outtie ttfn ttyl wave yo you wavinghand
👋🏻	people	waving hand light skin tone bye cya g2g greetings gtg hello hey hi later outtie ttfn ttyl wave yo you wavinghandlightskintone wavinghand handlight lightskin skintone
👋🏼	people	waving hand medium light skin tone bye cya g2g greetings gtg hello hey hi later outtie ttfn ttyl wave yo you wavinghand handmedium mediumlight lightskin skintone
👋🏽	people	waving hand medium skin tone bye cya g2g greetings gtg hello hey hi later outtie ttfn ttyl wave yo you wavinghandmediumskintone wavinghand handmedium mediumskin skintone
👋🏾	people	waving hand medium dark skin tone bye cya g2g greetings gtg hello hey hi later outtie ttfn ttyl wave yo you wavinghand handmedium mediumdark darkskin skintone
👋🏿	people	waving hand dark skin tone bye cya g2g greetings gtg hello hey hi later outtie ttfn ttyl wave yo you wavinghanddarkskintone wavinghand handdark darkskin skintone
🤚	people	raised back of hand backhand raisedbackhand raisedback
🤚🏻	people	raised back of hand light skin tone backhand raisedback handlight lightskin skintone
🤚🏼	people	raised back of hand medium light skin tone backhand raisedback handmedium mediumlight lightskin skintone
🤚🏽	people	raised back of hand medium skin tone backhand raisedback handmedium mediumskin skintone
🤚🏾	people	raised back of hand medium dark skin tone backhand raisedback handmedium mediumdark darkskin skintone
🤚🏿	people	raised back of hand dark skin tone backhand raisedback handdark darkskin skintone
🖐️	people	hand with fingers splayed finger raised stop handfingerssplayed fingerssplayed
🖐🏻	people	hand with fingers splayed light skin tone finger raised stop fingerssplayed splayedlight lightskin skintone
🖐🏼	people	hand with fingers splayed medium light skin tone finger raised stop fingerssplayed splayedmedium mediumlight lightskin skintone
🖐🏽	people	hand with fingers splayed medium skin tone finger raised stop fingerssplayed splayedmedium mediumskin skintone
🖐🏾	people	hand with fingers splayed medium dark skin tone finger raised stop fingerssplayed splayedmedium mediumdark darkskin skintone
🖐🏿	people	hand with fingers splayed dark skin tone finger raised stop fingerssplayed splayeddark darkskin skintone
✋	people	raised hand 5 five high stop raisedhand
✋🏻	people	raised hand light skin tone 5 five high stop raisedhandlightskintone raisedhand handlight lightskin skintone
✋🏼	people	raised hand medium light skin tone 5 five high stop raisedhand handmedium mediumlight lightskin skintone
✋🏽	people	raised hand medium skin tone 5 five high stop raisedhandmediumskintone raisedhand handmedium mediumskin skintone
✋🏾	people	raised hand medium dark skin tone 5 five high stop raisedhand handmedium mediumdark darkskin skintone
✋🏿	people	raised hand dark skin tone 5 five high stop raisedhanddarkskintone raisedhand handdark darkskin skintone
🖖	people	vulcan salute finger hand hands vulcansalute
🖖🏻	people	vulcan salute light skin tone finger hand hands vulcansalute salutelight lightskin skintone
🖖🏼	people	vulcan salute medium light skin tone finger hand hands vulcansalute salutemedium mediumlight lightskin skintone
🖖🏽	people	vulcan salute medium skin tone finger hand hands vulcansalute salutemedium mediumskin skintone
🖖🏾	people	vulcan salute medium dark skin tone finger hand hands vulcansalute salutemedium mediumdark darkskin skintone
🖖🏿	people	vulcan salute dark skin tone finger hand hands vulcansalutedarkskintone vulcansalute salutedark darkskin skintone
🫱	people	rightwards hand handshake hold reach right rightward shake rightwardshand
🫱🏻	people	rightwards hand light skin tone handshake hold reach right rightward shake rightwardshand handlight lightskin skintone
🫱🏼	people	rightwards hand medium light skin tone handshake hold reach right rightward shake rightwardshand handmedium mediumlight lightskin skintone
🫱🏽	people	rightwards hand medium skin tone handshake hold reach right rightward shake rightwardshand handmedium mediumskin skintone
🫱🏾	people	rightwards hand medium dark skin tone handshake hold reach right rightward shake rightwardshand handmedium mediumdark darkskin skintone
🫱🏿	people	rightwards hand dark skin tone handshake hold reach right rightward shake rightwardshand handdark darkskin skintone
🫲	people	leftwards hand handshake hold left leftward reach shake leftwardshand
🫲🏻	people	leftwards hand light skin tone handshake hold left leftward reach shake leftwardshand handlight lightskin skintone
🫲🏼	people	leftwards hand medium light skin tone handshake hold left leftward reach shake leftwardshand handmedium mediumlight lightskin skintone
🫲🏽	people	leftwards hand medium skin tone handshake hold left leftward reach shake leftwardshand handmedium mediumskin skintone
🫲🏾	people	leftwards hand medium dark skin tone handshake hold left leftward reach shake leftwardshand handmedium mediumdark darkskin skintone
🫲🏿	people	leftwards hand dark skin tone handshake hold left leftward reach shake leftwardshand handdark darkskin skintone
🫳	people	palm down hand dismiss drop dropped pick shoo up palmdownhand palmdown downhand
🫳🏻	people	palm down hand light skin tone dismiss drop dropped pick shoo up palmdown downhand handlight lightskin skintone
🫳🏼	people	palm down hand medium light skin tone dismiss drop dropped pick shoo up palmdown downhand handmedium mediumlight lightskin skintone
🫳🏽	people	palm down hand medium skin tone dismiss drop dropped pick shoo up palmdown downhand handmedium mediumskin skintone
🫳🏾	people	palm down hand medium dark skin tone dismiss drop dropped pick shoo up palmdown downhand handmedium mediumdark darkskin skintone
🫳🏿	people	palm down hand dark skin tone dismiss drop dropped pick shoo up palmdownhanddarkskintone palmdown downhand handdark darkskin skintone
🫴	people	palm up hand beckon catch come hold know lift me offer tell palmuphand palmup uphand
🫴🏻	people	palm up hand light skin tone beckon catch come hold know lift me offer tell palmuphandlightskintone palmup uphand handlight lightskin skintone
🫴🏼	people	palm up hand medium light skin tone beckon catch come hold know lift me offer tell palmup uphand handmedium mediumlight lightskin skintone
🫴🏽	people	palm up hand medium skin tone beckon catch come hold know lift me offer tell palmuphandmediumskintone palmup uphand handmedium mediumskin skintone
🫴🏾	people	palm up hand medium dark skin tone beckon catch come hold know lift me offer tell palmup uphand handmedium mediumdark darkskin skintone
🫴🏿	people	palm up hand dark skin tone beckon catch come hold know lift me offer tell palmuphanddarkskintone palmup uphand handdark darkskin skintone
🫷	people	leftwards pushing hand block five halt high hold leftward pause push refuse slap stop wait leftwardspushinghand leftwardspushing pushinghand
🫷🏻	people	leftwards pushing hand light skin tone block five halt high hold leftward pause push refuse slap stop wait leftwardspushing pushinghand handlight lightskin skintone
🫷🏼	people	leftwards pushing hand medium light skin tone block five halt high hold leftward pause push refuse slap stop wait leftwardspushing pushinghand handmedium mediumlight lightskin skintone
🫷🏽	people	leftwards pushing hand medium skin tone block five halt high hold leftward pause push refuse slap stop wait leftwardspushing pushinghand handmedium mediumskin skintone
🫷🏾	people	leftwards pushing hand medium dark skin tone block five halt high hold leftward pause push refuse slap stop wait leftwardspushing pushinghand handmedium mediumdark darkskin skintone
🫷🏿	people	leftwards pushing hand dark skin tone block five halt high hold leftward pause push refuse slap stop wait leftwardspushing pushinghand handdark darkskin skintone
🫸	people	rightwards pushing hand block five halt high hold pause push refuse rightward slap stop wait rightwardspushinghand rightwardspushing pushinghand
🫸🏻	people	rightwards pushing hand light skin tone block five halt high hold pause push refuse rightward slap stop wait rightwardspushing pushinghand handlight lightskin skintone
🫸🏼	people	rightwards pushing hand medium light skin tone block five halt high hold pause push refuse rightward slap stop wait rightwardspushing pushinghand handmedium mediumlight lightskin skintone
🫸🏽	people	rightwards pushing hand medium skin tone block five halt high hold pause push refuse rightward slap stop wait rightwardspushing pushinghand handmedium mediumskin skintone
🫸🏾	people	rightwards pushing hand medium dark skin tone block five halt high hold pause push refuse rightward slap stop wait rightwardspushing pushinghand handmedium mediumdark darkskin skintone
🫸🏿	people	rightwards pushing hand dark skin tone block five halt high hold pause push refuse rightward slap stop wait rightwardspushing pushinghand handdark darkskin skintone
👌	people	ok hand awesome bet dope fleek fosho got gotcha legit okay pinch rad sure sweet three okhand
👌🏻	people	ok hand light skin tone awesome bet dope fleek fosho got gotcha legit okay pinch rad sure sweet three okhandlightskintone okhand handlight lightskin skintone
👌🏼	people	ok hand medium light skin tone awesome bet dope fleek fosho got gotcha legit okay pinch rad sure sweet three okhand handmedium mediumlight lightskin skintone
👌🏽	people	ok hand medium skin tone awesome bet dope fleek fosho got gotcha legit okay pinch rad sure sweet three okhandmediumskintone okhand handmedium mediumskin skintone
👌🏾	people	ok hand medium dark skin tone awesome bet dope fleek fosho got gotcha legit okay pinch rad sure sweet three okhandmediumdarkskintone okhand handmedium mediumdark darkskin skintone
👌🏿	people	ok hand dark skin tone awesome bet dope fleek fosho got gotcha legit okay pinch rad sure sweet three okhanddarkskintone okhand handdark darkskin skintone
🤌	people	pinched fingers gesture hand hold huh interrogation patience relax sarcastic ugh what zip pinchedfingers
🤌🏻	people	pinched fingers light skin tone gesture hand hold huh interrogation patience relax sarcastic ugh what zip pinchedfingers fingerslight lightskin skintone
🤌🏼	people	pinched fingers medium light skin tone gesture hand hold huh interrogation patience relax sarcastic ugh what zip pinchedfingers fingersmedium mediumlight lightskin skintone
🤌🏽	people	pinched fingers medium skin tone gesture hand hold huh interrogation patience relax sarcastic ugh what zip pinchedfingers fingersmedium mediumskin skintone
🤌🏾	people	pinched fingers medium dark skin tone gesture hand hold huh interrogation patience relax sarcastic ugh what zip pinchedfingers fingersmedium mediumdark darkskin skintone
🤌🏿	people	pinched fingers dark skin tone gesture hand hold huh interrogation patience relax sarcastic ugh what zip pinchedfingers fingersdark darkskin skintone
🤏	people	pinching hand amount bit fingers little small sort pinchinghand
🤏🏻	people	pinching hand light skin tone amount bit fingers little small sort pinchinghand handlight lightskin skintone
🤏🏼	people	pinching hand medium light skin tone amount bit fingers little small sort pinchinghand handmedium mediumlight lightskin skintone
🤏🏽	people	pinching hand medium skin tone amount bit fingers little small sort pinchinghand handmedium mediumskin skintone
🤏🏾	people	pinching hand medium dark skin tone amount bit fingers little small sort pinchinghand handmedium mediumdark darkskin skintone
🤏🏿	people	pinching hand dark skin tone amount bit fingers little small sort pinchinghanddarkskintone pinchinghand handdark darkskin skintone
✌️	people	victory hand peace v victoryhand
✌🏻	people	victory hand light skin tone peace v victoryhandlightskintone victoryhand handlight lightskin skintone
✌🏼	people	victory hand medium light skin tone peace v victoryhand handmedium mediumlight lightskin skintone
✌🏽	people	victory hand medium skin tone peace v victoryhand handmedium mediumskin skintone
✌🏾	people	victory hand medium dark skin tone peace v victoryhand handmedium mediumdark darkskin skintone
✌🏿	people	victory hand dark skin tone peace v victoryhanddarkskintone victoryhand handdark darkskin skintone
🤞	people	crossed fingers cross finger hand luck crossedfingers
🤞🏻	people	crossed fingers light skin tone cross finger hand luck crossedfingers fingerslight lightskin skintone
🤞🏼	people	crossed fingers medium light skin tone cross finger hand luck crossedfingers fingersmedium mediumlight lightskin skintone
🤞🏽	people	crossed fingers medium skin tone cross finger hand luck crossedfingers fingersmedium mediumskin skintone
🤞🏾	people	crossed fingers medium dark skin tone cross finger hand luck crossedfingers fingersmedium mediumdark darkskin skintone
🤞🏿	people	crossed fingers dark skin tone cross finger hand luck crossedfingers fingersdark darkskin skintone
🫰	people	hand with index finger and thumb crossed 3 expensive heart love money snap indexfinger thumbcrossed
🫰🏻	people	hand with index finger and thumb crossed light skin tone 3 expensive heart love money snap indexfinger thumbcrossed crossedlight lightskin skintone
🫰🏼	people	hand with index finger and thumb crossed medium light skin tone 3 expensive heart love money snap indexfinger thumbcrossed crossedmedium mediumlight lightskin skintone
🫰🏽	people	hand with index finger and thumb crossed medium skin tone 3 expensive heart love money snap indexfinger thumbcrossed crossedmedium mediumskin skintone
🫰🏾	people	hand with index finger and thumb crossed medium dark skin tone 3 expensive heart love money snap indexfinger thumbcrossed crossedmedium mediumdark darkskin skintone
🫰🏿	people	hand with index finger and thumb crossed dark skin tone 3 expensive heart love money snap indexfinger thumbcrossed crosseddark darkskin skintone
🤟	people	love you gesture fingers hand ily three loveyougesture loveyou yougesture
🤟🏻	people	love you gesture light skin tone fingers hand ily three loveyou yougesture gesturelight lightskin skintone
🤟🏼	people	love you gesture medium light skin tone fingers hand ily three loveyou yougesture gesturemedium mediumlight lightskin skintone
🤟🏽	people	love you gesture medium skin tone fingers hand ily three loveyou yougesture gesturemedium mediumskin skintone
🤟🏾	people	love you gesture medium dark skin tone fingers hand ily three loveyou yougesture gesturemedium mediumdark darkskin skintone
🤟🏿	people	love you gesture dark skin tone fingers hand ily three loveyou yougesture gesturedark darkskin skintone
🤘	people	sign of the horns finger hand rock on signhorns
🤘🏻	people	sign of the horns light skin tone finger hand rock on signhornslightskintone hornslight lightskin skintone
🤘🏼	people	sign of the horns medium light skin tone finger hand rock on hornsmedium mediumlight lightskin skintone
🤘🏽	people	sign of the horns medium skin tone finger hand rock on signhornsmediumskintone hornsmedium mediumskin skintone
🤘🏾	people	sign of the horns medium dark skin tone finger hand rock on hornsmedium mediumdark darkskin skintone
🤘🏿	people	sign of the horns dark skin tone finger hand rock on signhornsdarkskintone hornsdark darkskin skintone
🤙	people	call me hand hang loose shaka callmehand callme mehand
🤙🏻	people	call me hand light skin tone hang loose shaka callmehandlightskintone callme mehand handlight lightskin skintone
🤙🏼	people	call me hand medium light skin tone hang loose shaka callme mehand handmedium mediumlight lightskin skintone
🤙🏽	people	call me hand medium skin tone hang loose shaka callmehandmediumskintone callme mehand handmedium mediumskin skintone
🤙🏾	people	call me hand medium dark skin tone hang loose shaka callme mehand handmedium mediumdark darkskin skintone
🤙🏿	people	call me hand dark skin tone hang loose shaka callmehanddarkskintone callme mehand handdark darkskin skintone
👈	people	backhand index pointing left finger hand point backhandindex indexpointing pointingleft
👈🏻	people	backhand index pointing left light skin tone finger hand point backhandindex indexpointing pointingleft leftlight lightskin skintone
👈🏼	people	backhand index pointing left medium light skin tone finger hand point backhandindex indexpointing pointingleft leftmedium mediumlight lightskin skintone
👈🏽	people	backhand index pointing left medium skin tone finger hand point backhandindex indexpointing pointingleft leftmedium mediumskin skintone
👈🏾	people	backhand index pointing left medium dark skin tone finger hand point backhandindex indexpointing pointingleft leftmedium mediumdark darkskin skintone
👈🏿	people	backhand index pointing left dark skin tone finger hand point backhandindex indexpointing pointingleft leftdark darkskin skintone
👉	people	backhand index pointing right finger hand point backhandindex indexpointing pointingright
👉🏻	people	backhand index pointing right light skin tone finger hand point backhandindex indexpointing pointingright rightlight lightskin skintone
